van postcode,tot postcode,plaats,gemeente,provincie
7120,7123,Aalten,Aalten,Gelderland
6662,6662,Aam,Overbetuwe,Gelderland
6105,6105,Aan de Berg,Echt-Susteren,Limburg
6065,6065,Aan de Berg,Roerdalen,Limburg
6093,6093,Aan de Bergen,Leudal,Limburg
6243,6243,Geulle aan de Maas,Meerssen,Limburg
6104,6104,Aan de Popelaar,Echt-Susteren,Limburg
6049,6049,Aan de Rijksweg,Roermond,Limburg
8104,6104,Aan de School,Echt-Susteren,Limburg
6104,6104,Aan Reijans,Echt-Susteren,Limburg
5629,5629,Aanschot,Eindhoven,Noord-Brabant
4527,4527,Aardenburg,Sluis,Zeeland
2445,2445,Aarlanderveen,Alphen aan den Rijn,Zuid-Holland
5684,5684,Aarle,Best,Noord-Brabant
5735,5735,Aarle-Rixtel,Laarbeek,Noord-Brabant
1719,1719,Aartswoud,Opmeer,Noord-Holland
6101,6101,Aasterberg,Echt-Susteren,Limburg
8617,8617,Abbegaasterketting,Súdwest Fryslân,Friesland
8617,8617,Abbegea,Súdwest Fryslân,Friesland
1657,1657,Abbekerk,Medemblik,Noord-Holland
4482,4482,Abbekinderen,Goes,Zeeland
3216,3216,Abbenbroek,Bernisse,Zuid-Holland
2157,2157,Abbenes,Haarlemmermeer,Noord-Holland
9011,9011,Abbenwier,Boarnsterhim,Friesland
1759,1759,Abbestede,Zijpe,Noord-Holland
9954,9954,Abbeweer,Winsum,Groningen
1390,1391,Abcoude,De Ronde Venen,Utrecht
5051,5051,Abcoven,Goirle,Noord-Brabant
4561,4561,Absdale,Hulst,Zeeland
6151,6151,Abshoven,Sittard-Geleen,Limburg
2626,2626,Abtswoude,Delft,Zuid-Holland
8806,8806,Achlum,Franekeradeel,Friesland
5626,5626,Acht,Eindhoven,Noord-Brabant
6093,6093,Achter het Klooster,Leudal,Limburg
5721,5721,Achterbosch,Asten,Noord-Brabant
5737,5737,Achterbosch,Laarbeek,Noord-Brabant
2825,2825,Achterbroek,Bergambacht,Zuid-Holland
5715,5715,Achterbroek,Someren,Noord-Brabant
9611,9611,Achterdiep,Hoogezand-Sappemeer,Groningen
4761,4761,Achterdijk,Moerdijk,Noord-Brabant
4243,4243,Achterdijk,Zederik,Zuid-Holland
6996,6996,Achterdrempt,Bronckhorst,Gelderland
5583,5583,Achtereind,Waalre,Noord-Brabant
7475,7475,Achterhoek,Hof van Twente,Overijssel
3861,3861,Achterhoek,Nijkerk,Gelderland
3334,3334,Achter-Lindt,Zwijndrecht,Zuid-Holland
5556,5556,Achterste Brug,Valkenswaard,Noord-Brabant
5724,5724,Achterste Diesdonk,Asten,Noord-Brabant
7843,7843,Achterste Erm,Coevorden,Drenthe
5351,5351,Achterste Heide,Oss,Noord-Brabant
5541,5541,Achterste Heikant,Reusel-De Mierden,Noord-Brabant
5481,5481,Achterste Hermalen,Schijndel,Noord-Brabant
4838,4838,Achterste Rith,Breda,Noord-Brabant
6922,6922,Achterstehoek,Duiven,Gelderland
9797,9797,Achter-Thesinge,Ten Boer,Groningen
3791,3791,Achterveld,Leusden,Utrecht
4128,4128,Achthoven,Zederik,Zuid-Holland
3256,3256,Achthuizen,Oostflakkee,Zuid-Holland
4885,4885,Achtmaal,Zundert,Noord-Brabant
3651,3651,Achttienhoven,Nieuwkoop,Zuid-Holland
4150,4151,Acquoy,Geldermalsen,Gelderland
9774,9774,Adorp,Winsum,Groningen
9830,9831,Aduard,Zuidhorn,Groningen
9892,9892,Aduarderzijl,Winsum,Groningen
8426,8426,Aekinga,Ooststellingwerf,Friesland
6913,6913,Aerdenburg,Rijnwaarden,Gelderland
2110,2111,Aerdenhout,Bloemendaal,Noord-Holland
6913,6913,Aerdt,Rijnwaarden,Gelderland
5850,5851,Afferden,Bergen,Limburg
6654,6654,Afferden,Druten,Gelderland
9561,9561,Agodorp,Vlagtwedde,Groningen
5854,5854,Aijen,Bergen,Limburg
1920,1921,Akersloot,Castricum,Noord-Holland
4724,4724,Akker,Roosendaal,Noord-Brabant
4505,4505,Akkerput,Sluis,Zeeland
8490,8491,Akkrum,Boarnsterhim,Friesland
8540,8541,Akmarijp,Skarsterlân,Friesland
7665,7665,Albergen,Tubbergen,Overijssel
2950,2954,Alblasserdam,Alblasserdam,Zuid-Holland
9131,9131,Ald Terp,Dongeradeel,Friesland
8495,8495,Aldeboarn,Boarnsterhim,Friesland
8582,8582,Aldegea,Gaasterlân-Sleat,Friesland
8614,8614,Aldegea,Súdwest Fryslân,Friesland
8567,8567,Aldemardum,Gaasterlân-Sleat,Friesland
9064,9064,Aldtsjerk,Tytsjerksteradiel,Friesland
9294,9294,Aldwâldmersyl,Kollumerland en Nieuwkruisland,Friesland
5335,5335,Alem,Maasdriel,Gelderland
3451,3454,Alendorp,Utrecht,Utrecht
9951,9951,Alinghuizen,Winsum,Groningen
1800,1827,Alkmaar,Alkmaar,Noord-Holland
9891,9891,Allersma,Winsum,Groningen
8758,8758,Allingawier,Súdwest Fryslân,Friesland
7600,7609,Almelo,Almelo,Overijssel
7218,7218,Almen,Lochem,Gelderland
1356,1356,Almere-Haven,Almere,Flevoland
4286,4286,Almkerk,Woudrichem,Noord-Brabant
5130,5131,Alphen,Alphen-Chaam,Noord-Brabant
6626,6626,Alphen,West Maas en Waal,Gelderland
2400,2409,Alphen aan den Rijn,Alphen aan den Rijn,Zuid-Holland
5131,5131,Alphen-Oosterwijk,Alphen-Chaam,Noord-Brabant
9321,9321,Altena,Noordenveld,Drenthe
7927,7927,Alteveer,De Wolden,Drenthe
7927,7927,Alteveer,De Wolden,Drenthe
7915,7915,Alteveer,Hoogeveen,Drenthe
9306,9306,Alteveer,Noordenveld,Drenthe
9661,9662,Alteveer,Stadskanaal,Groningen
6628,6628,Altforst,West Maas en Waal,Gelderland
9411,9411,Alting,Midden-Drenthe,Drenthe
6006,6006,Altweert,Weert,Limburg
6006,6006,Altweerterheide,Weert,Limburg
6603,6603,Alverna,Wijchen,Gelderland
5674,5674,Alvershool,"Nuenen, Gerwen en Nederwetten",Noord-Brabant
4233,4235,Ameide,Zederik,Zuid-Holland
9446,9446,Amen,Aa en Hunze,Drenthe
5966,5966,America,Horst aan de Maas,Limburg
9342,9342,Amerika,Noordenveld,Drenthe
3958,3958,Amerongen,Utrechtse Heuvelrug,Utrecht
3800,3836,Amersfoort,Amersfoort,Utrecht
2865,2865,Ammerstol,Bergambacht,Zuid-Holland
5324,5324,Ammerzoden,Maasdriel,Gelderland
1427,1427,Amstelhoek,De Ronde Venen,Utrecht
1180,1189,Amstelveen,Amstelveen,Noord-Holland
6436,6436,Amstenrade,Schinnen,Limburg
1000,1099,Amsterdam,Amsterdam,Noord-Holland
1100,1108,Amsterdam-Zuidoost,Amsterdam,Noord-Holland
9937,9937,Amsweer,Delfzijl,Groningen
4280,4281,Andel,Woudrichem,Noord-Brabant
6673,6673,Andelst,Overbetuwe,Gelderland
9465,9465,Anderen,Aa en Hunze,Drenthe
1619,1619,Andijk,Medemblik,Noord-Holland
7784,7784,Ane,Hardenberg,Overijssel
7788,7788,Anerveen,Hardenberg,Overijssel
7785,7785,Anevelde,Hardenberg,Overijssel
6687,6687,Angeren,Lingewaard,Gelderland
6986,6986,Angerlo,Zevenaar,Gelderland
7935,7935,Anholt,De Wolden,Drenthe
9133,9133,Anjum,Dongeradeel,Friesland
1244,1244,Ankeveen,Wijdemeren,Noord-Holland
7722,7722,Ankum,Dalfsen,Overijssel
9467,9467,Anloo,Aa en Hunze,Drenthe
4675,4675,Anna Jacobapolder,Tholen,Zeeland
8632,8632,Annabuorren,Súdwest Fryslân,Friesland
9468,9468,Annen,Aa en Hunze,Drenthe
6061,6061,Annendaal,Roerdalen,Limburg
9654,9654,Annerveenschekanaal,Aa en Hunze,Drenthe
4858,4858,Anneville,Alphen-Chaam,Noord-Brabant
9404,9404,Anreep,Assen,Drenthe
7964,7964,Ansen,De Wolden,Drenthe
7300,7336,Apeldoorn,Apeldoorn,Gelderland
7437,7437,Apenhuizen,Deventer,Overijssel
8084,8084,Aperloo,Elburg,Gelderland
3862,3862,Appel,Nijkerk,Gelderland
8426,8426,Appelscha,Ooststellingwerf,Friesland
6629,6629,Appeltern,West Maas en Waal,Gelderland
7383,7383,Appen,Voorst,Gelderland
9900,9903,Appingedam,Appingedam,Groningen
5944,5944,Arcen,Venlo,Limburg
8148,8148,Archem,Ommen,Overijssel
5427,5427,Arendnest,Boekel,Noord-Brabant
6336,6336,Arensgenhout,Nuth,Limburg
4240,4241,Arkel,Giessenlanden,Zuid-Holland
8802,8802,Arkens,Franekeradeel,Friesland
7963,7963,Armweide,De Wolden,Drenthe
4340,4341,Arnemuiden,Middelburg,Zeeland
6800,6845,Arnhem,Arnhem,Gelderland
2182,2182,Arnoud,Hillegom,Zuid-Holland
7735,7735,Arriën,Ommen,Overijssel
7735,7735,Arriërveld,Ommen,Overijssel
8822,8822,Arum,Súdwest Fryslân,Friesland
9904,9904,Arwerd,Delfzijl,Groningen
6089,6089,Asbroek,Leudal,Limburg
4115,4115,Asch,Buren,Gelderland
6042,6042,Asenray,Roermond,Limburg
4147,4147,Asperen,Lingewaal,Gelderland
3831,3831,Asschat,Leusden,Utrecht
7346,7346,Assel,Apeldoorn,Gelderland
6071,6071,Asselt,Roermond,Limburg
9400,9408,Assen,Assen,Drenthe
1566,1566,Assendelft,Zaanstad,Noord-Holland
5720,5721,Asten,Asten,Noord-Brabant
8762,8762,Atzeburen,Súdwest Fryslân,Friesland
9292,9292,Augsbuurt-Lutjewoude,Kollumerland en Nieuwkruisland,Friesland
9284,9284,Augustinusga,Achtkarspelen,Friesland
3710,3711,Austerlitz,Zeist,Utrecht
1633,1633,Avenhorn,Koggenland,Noord-Holland
7431,7431,Averlo,Deventer,Overijssel
7156,7156,Avest,Berkelland,Gelderland
4570,4571,Axel,Terneuzen,Zeeland
4571,4571,Axelsche Sassing,Terneuzen,Zeeland
7495,7495,Azelo,Hof van Twente,Overijssel
7045,7045,Azewijn,Montferland,Gelderland
8884,8884,Baaiduinen,Terschelling,Friesland
8840,8841,Baaium,Littenseradiel,Friesland
7223,7223,Baak,Bronckhorst,Gelderland
6114,6114,Baakhoven,Echt-Susteren,Limburg
6369,6369,Baaks,Simpelveld,Limburg
2671,2671,Baakwoning,Westland,Zuid-Holland
6685,6685,Baal,Lingewaard,Gelderland
4587,4587,Baalhoek,Hulst,Zeeland
1396,1396,Baambrugge,De Ronde Venen,Utrecht
9947,9947,Baamsum,Delfzijl,Groningen
8834,8834,Baard,Littenseradiel,Friesland
8822,8822,Baarderburen,Súdwest Fryslân,Friesland
4435,4435,Baarland,Borsele,Zeeland
5110,5111,Baarle-Nassau,Baarle-Nassau,Noord-Brabant
5990,5991,Baarlo,Peel en Maas,Limburg
8372,8372,Baarlo,Steenwijkerland,Overijssel
8064,8064,Baarlo,Zwartewaterland,Overijssel
3740,3744,Baarn,Baarn,Utrecht
8336,8336,Baars,Steenwijkerland,Overijssel
5756,5756,Baarschot,Deurne,Noord-Brabant
5087,5087,Baarschot,Hilvarenbeek,Noord-Brabant
4849,4849,Baarschot,Oosterhout,Noord-Brabant
4444,4444,Baarsdorp,Borsele,Zeeland
6017,6017,Baarstraat,Maasgouw,Limburg
6909,6909,Babberich,Zevenaar,Gelderland
8765,8765,Baburen,Súdwest Fryslân,Friesland
4269,4269,Babyloniënbroek,Aalburg,Noord-Brabant
1170,1171,Badhoevedorp,Haarlemmermeer,Noord-Holland
6095,6095,Baexem,Leudal,Limburg
9953,9953,Baflo,Winsum,Groningen
6988,6988,Bahr,Zevenaar,Gelderland
5760,5761,Bakel,Gemert-Bakel,Noord-Brabant
5761,5761,Bakelsebrug,Gemert-Bakel,Noord-Brabant
4435,4435,Bakendorp,Borsele,Zeeland
5026,5026,Bakertand,Tilburg,Noord-Brabant
8574,8574,Bakhúzen,Gaasterlân-Sleat,Friesland
9362,9362,Bakkerom,Marum,Groningen
4501,4501,Bakkersdam,Sluis,Zeeland
9243,9243,Bakkeveen,Opsterland,Friesland
6613,6613,Balgoij,Wijchen,Gelderland
4515,4515,Balhofstede,Sluis,Zeeland
9437,9437,Balinge,Midden-Drenthe,Drenthe
8560,8561,Balk,Gaasterlân-Sleat,Friesland
7707,7707,Balkbrug,Hardenberg,Overijssel
7741,7741,Ballast,Coevorden,Drenthe
4855,4855,Balleman,Alphen-Chaam,Noord-Brabant
8511,8511,Ballingbuur,Skarsterlân,Friesland
9458,9458,Balloo,Aa en Hunze,Drenthe
9162,9162,Ballum,Ameland,Friesland
9884,9884,Balmahuizen,Zuidhorn,Groningen
6353,6353,Baneheide,Simpelveld,Limburg
6262,6262,Banholt,Eijsden-Margraten,Limburg
5763,5763,Bankert,Gemert-Bakel,Noord-Brabant
8314,8314,Bant,Noordoostpolder,Flevoland
8538,8538,Bantega,Lemsterland,Friesland
7244,7244,Barchem,Lochem,Gelderland
2990,2993,Barendrecht,Barendrecht,Zuid-Holland
2992,2992,Barendrechtse Veer,Barendrecht,Zuid-Holland
9512,9512,Bareveld,Aa en Hunze,Drenthe
7884,7884,Barger-Compascuum,Emmen,Drenthe
7814,7833,Barger-Erfscheidenveen,Emmen,Drenthe
7891,7891,Barger-Oosterveen,Emmen,Drenthe
7826,7885,Barger-Oosterveld,Emmen,Drenthe
9591,9591,Barlage,Stadskanaal,Groningen
4793,4793,Barlaque,Moerdijk,Noord-Brabant
7122,7122,Barlo,Aalten,Gelderland
3770,3773,Barneveld,Barneveld,Gelderland
9561,9561,Barnflair,Vlagtwedde,Groningen
6343,6343,Barrier,Voerendaal,Limburg
8326,8326,Barsbeek,Steenwijkerland,Overijssel
1768,1768,Barsingerhorn,Hollands Kroon,Noord-Holland
9178,9074,Bartlehiem,Ferwerderadiel,Friesland
9051,9051,Bartlehiem,Leeuwarderadeel,Friesland
9064,9064,Bartlehiem,Tytsjerksteradiel,Friesland
9091,9091,Bartlehiem,Tytsjerksteradiel,Friesland
8342,8342,Basse,Steenwijkerland,Overijssel
8338,8338,Basserveld,Steenwijkerland,Overijssel
6634,6634,Batenburg,Wijchen,Gelderland
4411,4411,Bath,Reimerswaal,Zeeland
7437,7437,Bathmen,Deventer,Overijssel
3244,3244,Battenoord,Middelharnis,Zuid-Holland
4854,4854,Bavel,Breda,Noord-Brabant
7607,7607,Bavinkel,Almelo,Overijssel
7921,7921,Bazuin,De Wolden,Drenthe
9025,9025,Bears,Littenseradiel,Friesland
7554,7554,Beckum,Hengelo,Overijssel
5406,5406,Bedaf,Uden,Noord-Brabant
9780,9781,Bedum,Bedum,Groningen
6099,6099,Beegden,Maasgouw,Limburg
6190,6192,Beek,Beek,Limburg
7037,7037,Beek,Montferland,Gelderland
6573,6573,Beek,Ubbergen,Gelderland
5815,5815,Beek,Venray,Limburg
5740,5741,Beek en Donk,Laarbeek,Noord-Brabant
7360,7361,Beekbergen,Apeldoorn,Gelderland
7597,7597,Beekdorp,Dinkelland,Overijssel
5853,5853,Beekheuvel,Bergen,Limburg
6095,6095,Beekkant,Leudal,Limburg
5737,5737,Beemdkant,Laarbeek,Noord-Brabant
7341,7341,Beemte,Apeldoorn,Gelderland
3209,3209,Beerenplaat,Spijkenisse,Zuid-Holland
5437,5437,Beers,Cuijk,Noord-Brabant
9687,9687,Beersterhoogen,Oldambt,Groningen
9686,9686,Beerta,Oldambt,Groningen
6321,6321,Beertsenhoven,Gulpen-Wittem,Limburg
7736,7736,Beerze,Ommen,Overijssel
7685,7685,Beerzerveld,Ommen,Overijssel
4153,4153,Beesd,Geldermalsen,Gelderland
5954,5954,Beesel,Beesel,Limburg
9044,9044,Beetgum,Menameradiel,Friesland
9045,9045,Beetgumermolen,Menameradiel,Friesland
1475,1475,Beets,Zeevang,Noord-Holland
9244,9244,Beetsterzwaag,Opsterland,Friesland
5725,5725,Behelp,Asten,Noord-Brabant
9410,9412,Beilen,Midden-Drenthe,Drenthe
9411,9411,Beilervaart,Midden-Drenthe,Drenthe
2144,2144,Beinsdorp,Haarlemmermeer,Noord-Holland
6983,6983,Beinum,Doesburg,Gelderland
5731,5731,Bekelaar,Geldrop-Mierlo,Noord-Brabant
7255,7255,Bekveld,Bronckhorst,Gelderland
4315,4315,Beldert,Schouwen-Duiveland,Zeeland
5950,5951,Belfeld,Venlo,Limburg
5985,5985,Belgenhoek,Peel en Maas,Limburg
5756,5756,Belgeren,Deurne,Noord-Brabant
9695,9695,Bellingwolde,Bellingwedde,Groningen
7156,7156,Beltrum,Berkelland,Gelderland
8066,8066,Belt-Schutsloot,Steenwijkerland,Overijssel
5076,5076,Belvert,Haaren,Noord-Brabant
6268,6268,Bemelen,Eijsden-Margraten,Limburg
6680,6681,Bemmel,Lingewaard,Gelderland
5741,5741,Bemmer,Laarbeek,Noord-Brabant
7963,7963,Benderse,De Wolden,Drenthe
9651,9651,Beneden Veensloot,Menterwolde,Groningen
2861,2861,Benedenberg,Bergambacht,Zuid-Holland
6718,6718,Benedeneind,Ede,Gelderland
5394,5394,Benedeneind,Oss,Noord-Brabant
2851,2851,Beneden-Haastrecht,Vlist,Zuid-Holland
2821,2821,Benedenheul,Vlist,Zuid-Holland
2821,2821,Benedenkerk,Vlist,Zuid-Holland
6658,6658,Beneden-Leeuwen,West Maas en Waal,Gelderland
2120,2121,Bennebroek,Bloemendaal,Noord-Holland
6720,6721,Bennekom,Ede,Gelderland
7856,7856,Benneveld,Coevorden,Drenthe
1654,1654,Benningbroek,Medemblik,Noord-Holland
3405,3405,Benschop,Lopik,Utrecht
2391,2391,Bent,Rijnwoude,Zuid-Holland
7497,7497,Bentelo,Hof van Twente,Overijssel
5761,5761,Benthem,Gemert-Bakel,Noord-Brabant
2730,2731,Benthuizen,Rijnwoude,Zuid-Holland
2116,2116,Bentveld,Zandvoort,Noord-Holland
6419,6419,Benzenrade,Heerlen,Limburg
5707,5707,Berenbroek,Helmond,Noord-Brabant
6028,6028,Berg,Cranendonck,Noord-Brabant
6267,6267,Berg,Eijsden-Margraten,Limburg
5768,5768,Berg,Peel en Maas,Limburg
6325,6325,Berg,Valkenburg aan de Geul,Limburg
6129,6129,Berg aan de Maas,Stein,Limburg
6570,6571,Berg en Dal,Groesbeek,Gelderland
6572,6572,Berg en Dal,Ubbergen,Gelderland
4013,4013,Bergakker,Tiel,Gelderland
2860,2861,Bergambacht,Bergambacht,Zuid-Holland
1860,1862,Bergen,Bergen,Noord-Holland
5854,5854,Bergen,Bergen,Limburg
1865,1865,Bergen aan Zee,Bergen,Noord-Holland
4600,4625,Bergen op Zoom,Bergen op Zoom,Noord-Brabant
6255,6255,Bergenhuizen,Eijsden-Margraten,Limburg
5262,5262,Bergenshuizen,Vught,Noord-Brabant
7690,7691,Bergentheim,Hardenberg,Overijssel
6681,6681,Bergerden,Lingewaard,Gelderland
6617,6617,Bergharen,Wijchen,Gelderland
6271,6271,Berghem,Gulpen-Wittem,Limburg
5350,5351,Berghem,Oss,Noord-Brabant
7961,7961,Berghuizen,De Wolden,Drenthe
6627,6627,Berghuizen,West Maas en Waal,Gelderland
7591,7591,Berghum,Dinkelland,Overijssel
5854,5854,Bergsche Heide,Bergen,Limburg
2660,2661,Bergschenhoek,Lansingerland,Zuid-Holland
2861,2861,Bergstoep,Bergambacht,Zuid-Holland
6082,6082,Berik,Leudal,Limburg
5986,5986,Beringe,Peel en Maas,Limburg
5032,5032,Berkeind,Tilburg,Noord-Brabant
5715,5715,Berkeindje,Someren,Noord-Brabant
2650,2651,Berkel en Rodenrijs,Lansingerland,Zuid-Holland
6101,6101,Berkelaar,Echt-Susteren,Limburg
5056,5056,Berkel-Enschot,Tilburg,Noord-Brabant
2825,2825,Berkenwoude,Bergambacht,Zuid-Holland
5427,5427,Berkhoek,Boekel,Noord-Brabant
5071,5071,Berkhoek,Tilburg,Noord-Brabant
1647,1647,Berkhout,Koggenland,Noord-Holland
5384,5384,Berkt,Bernheze,Noord-Brabant
5508,5508,Berkt,Veldhoven,Noord-Brabant
5258,5258,Berlicum,Sint-Michielsgestel,Noord-Brabant
9040,9041,Berlikum,Menameradiel,Friesland
5318,5318,Bern,Zaltbommel,Gelderland
5294,5294,Besselaar,Sint-Michielsgestel,Noord-Brabant
5680,5684,Best,Best,Noord-Brabant
7731,7731,Besthmen,Ommen,Overijssel
9891,9891,Beswerd,Winsum,Groningen
9998,9998,Bethlehem,Eemsmond,Groningen
9101,9101,Betterwird,Dongeradeel,Friesland
5835,5835,Beugen,Boxmeer,Noord-Brabant
5473,5473,Beugt,Bernheze,Noord-Brabant
5463,5463,Beukelaar,Veghel,Noord-Brabant
6640,6642,Beuningen,Beuningen,Gelderland
7588,7588,Beuningen,Losser,Overijssel
7475,7475,Beusbergen,Hof van Twente,Overijssel
7451,7451,Beuseberg,Rijssen-Holten,Overijssel
4112,4112,Beusichem,Buren,Gelderland
6278,6278,Beutenaken,Gulpen-Wittem,Limburg
6986,6986,Bevermeer,Zevenaar,Gelderland
1940,1948,Beverwijk,Beverwijk,Noord-Holland
8256,8256,Biddinghuizen,Dronten,Flevoland
3212,3212,Biert,Bernisse,Zuid-Holland
9906,9906,Bierum,Delfzijl,Groningen
4521,4522,Biervliet,Terneuzen,Zeeland
6093,6093,Biesstraat,Leudal,Limburg
9931,9931,Biessum,Delfzijl,Groningen
5408,5408,Biesthoek,Uden,Noord-Brabant
5126,5126,Biestraat,Gilze en Rijen,Noord-Brabant
4421,4421,Biezelinge,Kapelle,Zeeland
4529,4529,Biezen,Sluis,Zeeland
5528,5528,Biezenheuvel,Bladel,Noord-Brabant
5074,5074,Biezenmortel,Haaren,Noord-Brabant
4373,4373,Biggekerke,Veere,Zeeland
3882,3882,Bijsteren,Putten,Gelderland
5513,5513,Bijsterveld,Eersel,Noord-Brabant
9678,9678,Bikkershorn,Oldambt,Groningen
2451,2451,Bilderdam,Kaag en Braassem,Zuid-Holland
6271,6271,Billinghuizen,Gulpen-Wittem,Limburg
6107,6107,Bilt,Maasgouw,Limburg
3720,3723,Bilthoven,De Bilt,Utrecht
6456,6456,Bingelrade,Onderbanken,Limburg
6986,6986,Bingerden,Zevenaar,Gelderland
4766,4766,Binnen-Moerdijk,Drimmelen,Noord-Brabant
8293,8293,Bisschopswetering,Kampen,Overijssel
6585,6585,Bisselt,Mook en Middelaar,Limburg
6281,6281,Bissen,Gulpen-Wittem,Limburg
3271,3274,Blaaksedijk,Binnenmaas,Zuid-Holland
5530,5531,Bladel,Bladel,Noord-Brabant
2678,2678,Blaker,Westland,Zuid-Holland
6611,6611,Blankenberg,Heumen,Gelderland
8373,8373,Blankenham,Steenwijkerland,Overijssel
1260,1261,Blaricum,Blaricum,Noord-Holland
8615,8615,Blauhús,Súdwest Fryslân,Friesland
9354,9354,Blauw,Leek,Groningen
7946,7946,Blauwe Hand,Steenwijkerland,Overijssel
4766,4766,Blauwe Sluis,Drimmelen,Noord-Brabant
4651,4651,Blauwe Sluis,Steenbergen,Noord-Brabant
5841,5841,Blauwenhoek,Sint Anthonis,Noord-Brabant
6629,6629,Blauwesluis,West Maas en Waal,Gelderland
4471,4471,Blauwewijk,Goes,Zeeland
9284,9284,Blauwverlaat,Achtkarspelen,Friesland
5851,5851,Bleijenbeek,Bergen,Limburg
5752,5752,Bleijs,Deurne,Noord-Brabant
2665,2665,Bleiswijk,Lansingerland,Zuid-Holland
9591,9591,Blekslage,Stadskanaal,Groningen
6088,6088,Blenkert,Leudal,Limburg
5921,5925,Blerick,Venlo,Limburg
8398,8398,Blesdijke,Weststellingwerf,Friesland
9032,9032,Blessum,Menameradiel,Friesland
7961,7961,Blijdenstein,De Wolden,Drenthe
9170,9171,Blije,Ferwerderadiel,Friesland
9697,9697,Blijham,Bellingwedde,Groningen
5863,5863,Blitterswijck,Venray,Limburg
7924,7924,Bloemberg,De Wolden,Drenthe
2060,2061,Bloemendaal,Bloemendaal,Noord-Holland
1428,1428,Blokland,Nieuwkoop,Zuid-Holland
9623,9623,Blokum,Slochteren,Groningen
8356,8356,Blokzijl,Steenwijkerland,Overijssel
8700,8702,Boalsert,Súdwest Fryslân,Friesland
9172,9172,Boatebuorren,Ferwerderadiel,Friesland
8635,8635,Boazum,Littenseradiel,Friesland
6350,6351,Bocholtz,Simpelveld,Limburg
6351,6351,Bocholtzerheide,Simpelveld,Limburg
5808,5808,Boddenbroek,Venray,Limburg
2410,2411,Bodegraven,Bodegraven-Reeuwijk,Zuid-Holland
